station,latitude,longitude
Warszawa Zachodnia,52.2200627,20.9652859
Warszawa Centralna,52.22876935,21.0033562119648
Warszawa Wschodnia,52.2515735,21.0522983
Warszawa Praga,52.2775271,21.0223526
Warszawa Toruńska,52.2941219,21.0130774
Warszawa Żerań,52.314243,20.9988422
Warszawa Płudy,52.3341174,20.9858307
Warszawa Choszczówka,52.3577057,20.9723613
Legionowo,52.4014565,20.9415879
Legionowo Piaski,52.4126078,20.9427123
Michałów-Reginów,52.422567,20.9627426
Wieliszew,52.4281967,20.9747536
Łódź Kaliska,51.757822,19.4305417
Lublinek,51.7211446,19.3595792
Pabianice,51.6609152,19.325158
Chechło,50.1101447,19.3769792
Dobroń,51.6293733,19.240823
Kolumna,51.6149059,19.195933
Łask,51.6037218,19.1120721
Borszewice,51.6096208,19.0375048
Zduńska Wola,51.6113231,18.9470222
Męcka Wola,51.6090575,18.8465979
Sieradz Męka,51.6151908,18.7765752
Sieradz Warta,51.6030251,18.7303384
Sieradz,51.5977276,18.7141639
Łódź Widzew,51.7631038,19.5438083
Łódź Dąbrowa,51.7358946,19.5106059
Łódź Chojny,51.7264184,19.4841985
Łódź Pabianicka,51.7262047,19.4452626
Łódź Żabieniec,51.7935776,19.4070099
Łódź Radogoszcz Zachód,51.821962,19.4157797
Zgierz,51.8494819,19.4257518
Zgierz Jaracza,51.8637823,19.422434
Zgierz Północ,51.868409,19.382256
Zgierz Kontrewers,51.8648027,19.3404051
Grotniki,51.8871026,19.311066
Chociszew,51.9237991,19.2672301
Kutno,52.2271533,19.3483624
Witonia,52.1568395,19.2766258
Gawrony,51.37852865,17.6980036945891
Łęczyca,52.049237,19.1932523
Sierpów,52.0189258,19.2221665
Ozorków,51.9724976,19.2659238
Ozorków Nowe Miasto,51.9589092,19.2696778
Gdańsk Wrzeszcz,54.3817696,18.6055111
Gdańsk Strzyża,54.3916658,18.5786895
Gdańsk Niedźwiednik,54.3772379,18.5716604
Gdańsk Brętowo,54.3648404,18.5734816
Gdańsk Jasień,54.3536273,18.5499212
Gdańsk Kiełpinek,54.3552769,18.5286813
Gdańsk Matarnia,54.3735728,18.5062044
Gdańsk Port Lotniczy,54.3830506,18.4653338
Gdańsk Rębiechowo,54.387549,18.4461077
Gdańsk Osowa,54.4222198,18.4526329
Gdynia Karwiny,54.4692244,18.5086529
Gdynia Stadion,54.4963407,18.5333059
Gdynia Główna,54.5216208,18.5274712
Warszawa Lotnisko Chopina,52.1696272,20.9752099
Warszawa Służewiec,52.1807488,20.9870352
Warszawa Żwirki i Wigury,52.1933666,20.9804948
Warszawa Rakowiec,52.196818,20.9660609
Warszawa Aleje Jerozolimskie,52.2052108,20.9421165
Działdowo,53.2379827,20.1677473
Krasnołąka,53.2721765,20.2316102
Zakrzów-Sarnowo,53.2825701,20.2832706
Kozłowo,52.61638,22.74909
Nidzica,53.3573178,20.4140417
Dobrzyń,53.4364718,20.3845711
Bujaki,53.4680268,20.3749877
Waplewo,53.5111407,20.3560989
Olsztynek,53.5845092,20.2948191
Gryźliny,53.6130297,20.3463272
Stawiguda,53.6490196,20.4062032
Gągławki,53.6802289,20.437258
Bartąg,53.7131819,20.4472968
Olsztyn Zachodni,53.7787258,20.4691011
Olsztyn Główny,53.7856553,20.4972517
Bydgoszcz Główna,53.1352905,17.991601
Bydgoszcz Bielawy,53.1318249,18.0532565
Bydgoszcz Wschód,53.1278962,18.0838582
Solec Kujawski,53.0782444,18.2258941
Przyłubie,53.049687,18.3243107
Cierpice Kąkol,52.9918988,18.4465382
Toruń Kluczyki,52.9900153,18.5783676
Toruń Główny,53.0001014,18.614611
Toruń Miasto,53.0123138,18.6197194
Toruń Wschodni,53.0264709,18.6334589
Gdańsk Główny,54.3564345,18.6441946
Rębiechowo,54.3887311,18.4216153
Pępowo Kartuskie,54.366488,18.4010957
Żukowo Wschodnie,54.3483605,18.3729708
Żukowo,54.3458564,18.3650087
Borkowo,53.3675858,21.9705022
Dzierżążno,54.3152372,18.2640758
Kartuzy,54.3338797,18.2060084
Sopot,54.4400543,18.5623213
Gdańsk Oliwa,54.4098972,18.5718547
Babi Dół,54.3015617,18.2886228
Kiełpino Kartuskie,54.2872777,18.2317041
Somonino,54.2700924,18.1929812
Sławki,54.2574065,18.1763676
Wieżyca,54.1291354,18.175851
Krzeszna,54.2355578,18.0887489
Gołubie Kaszubskie,54.2124619,18.0367211
Skorzewo,54.16702,17.96827
Kościerzyna,54.1206668,17.994624
Szczytno,53.5602427,20.9966326
Grom,53.606319,20.8620492
Pasym,53.6322769,20.7645938
Marcinkowo,52.58911,18.01762
Klewki,53.7366747,20.5680423
Pisz,53.6318052,21.793242
Szeroki Bór,53.6393062,21.673075
Ruciane-Nida,53.6487913,21.5635579
Ruciane-Nida Zachód,53.6422849,21.5228214
Karwica Mazurska,53.6173372,21.4440181
Spychowo,53.591276,21.3550152
